Name,SALARY,POS,Starting,Team,Opponent,,Away,Home,Projecte Points,HR Forecasts,Pojected Points with HR Forecast,Secondary Name,qAB,HH%,AB,H,2B,3B,HR,BB,BA,OBP,OPS,BVP Points,BWAR,roba,WHIP,K,,,,,,17.22820339
Keider Montero,"6,200.00",P,YES,DET,TOR,#N/A,TOR,DET,9.2,8,5.2,K. Montero,,,,,,,,,,,,0,1,0.3,1.38,50,,,,,,
Miles Mikolas,"6,500.00",P,YES,STL,SD,#N/A,SD,STL,9.2,10,4.2,M. Mikolas,,,,,,,,,,,,0,1,0.3,1.3,69,,,,,,
Cal Raleigh,"6,100.00",C,EXP.,SEA,LAA,Sea,Sea,LAA,9.1,8,13.1,C. Raleigh,,,,,,,,,,,,0,1,0.3,,,,,,,,
Taijuan Walker,"6,700.00",P,YES,PHI,NYY,Phi,Phi,NYY,9,10,4,T. Walker,,,,,,,,,,,,0,1,0.3,1.38,53,,,,,,
Jose Altuve,"4,600.00",2B/OF,YES,HOU,OAK,#N/A,OAK,HOU,8.8,8,12.8,J. Altuve,,,,,,,,,,,,0,0.6,0.339,,,,,,,,
Manny Machado,"4,800.00",3B,YES,SD,STL,SD,SD,STL,8.8,10,13.8,M. Machado,50%,28%,17,4,1,0,2,1,0.235,0.278,0.925,27.22,2.9,0.364,,,,,,,,
Jackson Merrill,"4,300.00",OF,YES,SD,STL,SD,SD,STL,8.8,10,13.8,J. Merrill,75%,50%,4,2,1,0,0,0,0.5,0.5,1.25,10.5,1.6,0.32,,,,,,,,
Michael Busch,"5,600.00",1B,YES,CHC,CWS,CHC,CHC,CWS,8.7,8,12.7,M. Busch,75%,0%,3,2,1,0,0,1,0.667,0.75,1.75,10.92,3.6,0.399,,,,,,,,
Brent Rooker,"4,600.00",OF,YES,OAK,HOU,Oak,Oak,HOU,8.7,8,12.7,B. Rooker,,,,,,,,,,,,0,2,0.368,,,,,,,,
Salvador Perez,"4,000.00",1B/C,YES,KC,CLE,#N/A,CLE,KC,8.7,8,12.7,S. Perez,43%,29%,7,3,0,0,0,0,0.429,0.429,0.858,12.44,0.3,0.325,,,,,,,,
Julio Rodriguez,"4,500.00",OF,EXP.,SEA,LAA,Sea,Sea,LAA,8.7,8,12.7,J. Rodriguez,55%,0%,9,4,0,0,0,1,0.444,0.545,0.989,16.53,1,0.3,,,,,,,,
Yandy Diaz,"4,800.00",1B,YES,TB,CIN,TB,TB,CIN,8.6,10,13.6,Y. Diaz,33%,0%,3,0,0,0,0,0,0,0,0,3.33,1,0.3,,,,,,,,
Corey Seager,"5,000.00",SS,YES,TEX,ATL,#N/A,ATL,TEX,8.6,10,13.6,C. Seager,50%,25%,8,3,1,0,0,0,0.375,0.375,0.875,14.38,3.8,0.372,,,,,,,,
Cedric Mullins,"4,100.00",OF,YES,BAL,COL,#N/A,COL,BAL,8.5,10,13.5,C. Mullins,,,,,,,,,,,,0,-0.6,0.306,,,,,,,,
Will Smith,"5,000.00",C,YES,LAD,BOS,LAD,LAD,BOS,8.5,10,13.5,W. Smith,0%,0%,3,0,0,0,0,0,0,0,0,3,4.1,0.413,,,,,,,,
Wilyer Abreu,"4,300.00",OF,YES,BOS,LAD,#N/A,LAD,BOS,8.5,10,13.5,W. Abreu,,,,,,,,,,,,0,2.5,0.343,,,,,,,,
Junior Caminero,"4,900.00",3B,YES,TB,CIN,TB,TB,CIN,8.5,10,13.5,J. Caminero,,,,,,,,,,,,0,2.1,0.358,,,,,,,,
Seiya Suzuki,"5,100.00",OF,YES,CHC,CWS,CHC,CHC,CWS,8.5,8,12.5,S. Suzuki,50%,13%,8,4,1,0,0,0,0.5,0.5,1.125,15.76,2,0.362,,,,,,,,
Riley Greene,"5,000.00",OF,YES,DET,TOR,#N/A,TOR,DET,8.5,8,12.5,R. Greene,0%,0%,6,0,0,0,0,0,0,0,0,6,2.6,0.365,,,,,,,,
Adolis Garcia,"3,800.00",OF,YES,TEX,ATL,#N/A,ATL,TEX,8.5,10,13.5,A. Garcia,43%,29%,6,2,1,0,0,1,0.333,0.429,0.929,12.41,1,0.3,,,,,,,,
Roman Anthony,"4,000.00",OF,YES,BOS,LAD,#N/A,LAD,BOS,8.4,10,13.4,R. Anthony,,,,,,,,,,,,0,1.4,0.347,,,,,,,,
TJ Friedl,"4,000.00",OF,YES,CIN,TB,#N/A,TB,CIN,8.4,10,13.4,T. Friedl,67%,67%,3,1,0,0,0,0,0.333,0.333,0.666,6.67,2.3,0.348,,,,,,,,
Steven Kwan,"4,400.00",OF,YES,CLE,KC,Cle,Cle,KC,8.4,8,12.4,S. Kwan,38%,15%,13,3,1,0,0,0,0.231,0.231,0.539,18.53,3.3,0.338,,,,,,,,
Spencer Torkelson,"4,200.00",1B,YES,DET,TOR,#N/A,TOR,DET,8.3,8,12.3,S. Torkelson,67%,33%,3,1,0,0,0,0,0.333,0.333,0.666,6.33,1.5,0.349,,,,,,,,
Giancarlo Stanton,"4,000.00",OF,YES,NYY,PHI,#N/A,PHI,NYY,8.3,10,13.3,G. Stanton,42%,17%,12,4,1,0,1,0,0.333,0.333,1,20.26,0.6,0.372,,,,,,,,
Trent Grisham,"4,200.00",OF,YES,NYY,PHI,#N/A,PHI,NYY,8.3,10,13.3,T. Grisham,71%,29%,7,3,0,0,0,0,0.429,0.429,0.858,12.72,3,0.379,,,,,,,,
Bryson Stott,"4,400.00",2B,YES,PHI,NYY,Phi,Phi,NYY,8.3,10,13.3,B. Stott,50%,0%,1,0,0,0,0,1,0,0.5,0.5,3.5,0.4,0.297,,,,,,,,
Rafael Devers,"4,700.00",1B/3B,EXP.,SF,NYM,#N/A,NYM,SF,8.3,8,12.3,R. Devers,50%,0%,5,1,0,0,0,1,0.2,0.333,0.533,8.57,2.5,0.372,,,,,,,,
Jackson Holliday,"3,900.00",2B,YES,BAL,COL,#N/A,COL,BAL,8.2,10,13.2,J. Holliday,,,,,,,,,,,,0,0.9,0.319,,,,,,,,
Bo Bichette,"4,600.00",SS,YES,TOR,DET,Tor,Tor,DET,8.2,8,12.2,B. Bichette,,,,,,,,,,,,0,1.8,0.333,,,,,,,,
Randy Arozarena,"4,400.00",OF,EXP.,SEA,LAA,Sea,Sea,LAA,8.2,8,12.2,R. Arozarena,57%,14%,6,1,0,0,0,1,0.167,0.286,0.453,9.62,3.6,0.364,,,,,,,,
Zach Neto,"4,800.00",SS,YES,LAA,SEA,#N/A,SEA,LAA,8.2,8,12.2,Z. Neto,38%,23%,13,3,0,0,0,0,0.231,0.231,0.462,17.53,3.3,0.347,,,,,,,,
Ryan Jeffers,"4,000.00",C,YES,MIN,WAS,#N/A,WAS,MIN,8.2,10,13.2,R. Jeffers,,,,,,,,,,,,0,0.6,0.33,,,,,,,,
Luis Arraez,"3,800.00",1B,YES,SD,STL,SD,SD,STL,8.2,10,13.2,L. Arraez,78%,33%,9,4,0,0,0,0,0.444,0.444,0.888,15.89,1,0.3,,,,,,,,
Alex Bregman,"4,500.00",3B,YES,BOS,LAD,#N/A,LAD,BOS,8.1,10,13.1,A. Bregman,67%,0%,1,0,0,0,0,2,0,0.667,0.667,5,2.8,0.384,,,,,,,,
Jonathan Aranda,"4,500.00",1B,YES,TB,CIN,TB,TB,CIN,8.1,10,13.1,J. Aranda,,,,,,,,,,,,0,3.3,0.378,,,,,,,,
Matt McLain,"4,200.00",2B,YES,CIN,TB,#N/A,TB,CIN,8.1,10,13.1,M. McLain,,,,,,,,,,,,0,0.6,0.306,,,,,,,,
Addison Barger,"4,200.00",3B/OF,YES,TOR,DET,Tor,Tor,DET,8.1,8,12.1,A. Barger,,,,,,,,,,,,0,1.9,0.353,,,,,,,,
J.T. Realmuto,"3,600.00",C,YES,PHI,NYY,Phi,Phi,NYY,8.1,10,13.1,J. Realmuto,100%,50%,2,2,0,0,0,0,1,1,2,9.5,1.4,0.319,,,,,,,,
Juan Soto,"5,700.00",OF,EXP.,NYM,SF,NYM,NYM,SF,8.1,8,12.1,J. Soto,41%,29%,15,3,0,1,0,1,0.2,0.235,0.568,21.7,4.1,0.396,,,,,,,,
Mickey Moniak,"3,800.00",OF,YES,COL,BAL,Col,Col,BAL,8,10,13,M. Moniak,29%,0%,7,2,0,0,1,0,0.286,0.286,1,11.86,0.4,0.367,,,,,,,,
Teoscar Hernandez,"4,200.00",OF,YES,LAD,BOS,LAD,LAD,BOS,8,10,13,T. Hernandez,25%,25%,12,3,1,0,0,0,0.25,0.25,0.583,17.58,1,0.3,,,,,,,,
Josh Lowe,"4,800.00",OF,YES,TB,CIN,TB,TB,CIN,8,10,13,J. Lowe,100%,0%,1,1,0,0,0,0,1,1,2,7,0.8,0.308,,,,,,,,
